regime,method,noise,h_profile,direct_hidden_stage_mean_absolute_error,remaining_stage_mean_absolute_error,direct_over_remaining_ratio
var,Matern GP,N1,Hstep,0.008349079611761468,0.0058314301191430985,1.4317379169740143
var,Matern GP,N2,Hbrn,0.0029451062967015087,0.002651809710312301,1.110602425675056
var,Matern GP,N2,Hdec,0.009607489386147403,0.004388738783065707,2.189123085479285
var,Matern GP,N2,Hprbs,0.002835941698322968,0.003060872123596975,0.9265142690738478
var,Matern GP,N2,Hsin,0.0030228651709213426,0.003522308877254273,0.8582055907821863
var,Matern GP,N2,Hstep,0.00890726550384754,0.003230391452342267,2.7573331700680206
var,Matern GP,N3,Hbrn,0.02785110604208763,0.007519782485228424,3.7037116561279912
var,Matern GP,N3,Hdec,0.003701688419658641,0.010302675434125637,0.35929389830116437
var,Matern GP,N3,Hprbs,0.00938707190308533,0.01569557048741789,0.5980714055988172
var,Matern GP,N3,Hsin,0.009687150463662607,0.01279965024289303,0.7568293101634844
var,Matern GP,N3,Hstep,0.0031906699116354986,0.019988869750495374,0.15962232739829754
