regime,method,noise,h_profile,mean_absolute_error,max_absolute_error,count
var,Expanded LSE,N2,Hsin,0.6828282641461513,2.384694436290917,24
var,Expanded LSE,N2,Hstep,0.40081312440986056,1.2869429499813556,24
var,Expanded LSE,N3,Hbrn,0.1948583402094176,0.8525252724958922,24
var,Expanded LSE,N3,Hdec,0.16023497243567503,0.5747905552280557,24
var,Expanded LSE,N3,Hprbs,0.1733218108037656,0.6131892713537646,24
var,Expanded LSE,N3,Hsin,0.6162189116275956,2.481721590969417,24
var,Expanded LSE,N3,Hstep,0.17085309312525712,0.6280101856507994,24
var,Expanded LSE + graph control,N1,Hbrn,0.31053418041533265,1.2693573623472303,24
var,Expanded LSE + graph control,N1,Hdec,0.33964037463484886,0.815008869821441,24
var,Expanded LSE + graph control,N1,Hprbs,0.2672489040542203,1.3311307317407337,24
var,Expanded LSE + graph control,N1,Hsin,0.4699855754911572,1.5167306815126076,24
var,Expanded LSE + graph control,N1,Hstep,0.368179256048945,0.8571471959684036,24
var,Expanded LSE + graph control,N2,Hbrn,0.3531018220082384,1.265752135262437,24
var,Expanded LSE + graph control,N2,Hdec,0.37000424667275794,1.1271128040963703,24
var,Expanded LSE + graph control,N2,Hprbs,0.2953428418162161,1.371970856611032,24
var,Expanded LSE + graph control,N2,Hsin,0.6828282641461527,2.3846944362909235,24
var,Expanded LSE + graph control,N2,Hstep,0.40081312440985983,1.2869429499813467,24
var,Expanded LSE + graph control,N3,Hbrn,0.19485834020941725,0.8525252724958899,24
var,Expanded LSE + graph control,N3,Hdec,0.11183300623838348,0.5632694522410375,24
var,Expanded LSE + graph control,N3,Hprbs,0.1406397813616959,0.5043714740472662,24
var,Expanded LSE + graph control,N3,Hsin,0.5905296791821878,2.3975459743565737,24
var,Expanded LSE + graph control,N3,Hstep,0.13364467933701774,0.6476671060130368,24
var,Expanded LSE + graph zero,N1,Hbrn,0.2631424184393722,0.8129781054619336,24
var,Expanded LSE + graph zero,N1,Hdec,0.33964037463484903,0.8150088698214437,24
var,Expanded LSE + graph zero,N1,Hprbs,0.26724890405421964,1.3311307317407284,24
var,Expanded LSE + graph zero,N1,Hsin,0.5102064532455365,2.316155051803978,24
var,Expanded LSE + graph zero,N1,Hstep,0.3681792560489459,0.8571471959684036,24
var,Expanded LSE + graph zero,N2,Hbrn,0.3091251596176517,1.0973045422730898,24
var,Expanded LSE + graph zero,N2,Hdec,0.3700042466727578,1.1271128040963614,24
var,Expanded LSE + graph zero,N2,Hprbs,0.295342841816215,1.3719708566110285,24
var,Expanded LSE + graph zero,N2,Hsin,0.6828282641461513,2.384694436290917,24
var,Expanded LSE + graph zero,N2,Hstep,0.40081312440986056,1.2869429499813556,24
var,Expanded LSE + graph zero,N3,Hbrn,0.1948583402094176,0.8525252724958922,24
var,Expanded LSE + graph zero,N3,Hdec,0.10359209626860184,0.5747905552280557,24
var,Expanded LSE + graph zero,N3,Hprbs,0.16154535740594864,0.6131892713537646,24
var,Expanded LSE + graph zero,N3,Hsin,0.6089427717176316,2.481721590969417,24
var,Expanded LSE + graph zero,N3,Hstep,0.13993335211210658,0.6280101856507994,24
var,LSTM sequence model,N1,Hbrn,0.2287337734819017,0.7593608721494675,24
var,LSTM sequence model,N1,Hdec,0.26024981897417043,0.946899673461914,24
var,LSTM sequence model,N1,Hprbs,0.3308635878322152,1.516863288879394,24
var,LSTM sequence model,N1,Hsin,0.14887701415024956,0.4606465433910489,24
var,LSTM sequence model,N1,Hstep,0.22387398667418856,0.7655146713256844,24
var,LSTM sequence model,N2,Hbrn,0.18157307360011457,0.8798554153442382,24
var,LSTM sequence model,N2,Hdec,0.2775718011115272,1.0425992279052743,24
var,LSTM sequence model,N2,Hprbs,0.34239316536331627,1.553748470306397,24
var,LSTM sequence model,N2,Hsin,0.1826504317582062,0.5019950008820743,24
var,LSTM sequence model,N2,Hstep,0.2969631768693524,1.1645794658660886,24
var,LSTM sequence model,N3,Hbrn,0.8795995614037707,4.0324684715271,24
var,LSTM sequence model,N3,Hdec,0.46118664682803584,1.6402072448730465,24
var,LSTM sequence model,N3,Hprbs,0.6123620273650391,2.4570064601898194,24
var,LSTM sequence model,N3,Hsin,0.7663650447866072,3.114510265350342,24
var,LSTM sequence model,N3,Hstep,0.5429592702770364,2.407062017440796,24
var,Linear residual DML,N1,Hbrn,0.2686948212695294,2.0700855883661102,24
var,Linear residual DML,N1,Hdec,0.5993784321099546,2.135096961160321,24
var,Linear residual DML,N1,Hprbs,0.5169049948704972,2.135913589458996,24
var,Linear residual DML,N1,Hsin,0.2623902837904219,2.135652730159342,24
var,Linear residual DML,N1,Hstep,0.5798840740494854,2.639202626018447,24
var,Linear residual DML,N2,Hbrn,0.26961060585090457,2.0793729208537064,24
var,Linear residual DML,N2,Hdec,0.5986938556446945,2.135682278291937,24
var,Linear residual DML,N2,Hprbs,0.5165387388366188,2.141347153228967,24
var,Linear residual DML,N2,Hsin,0.26216699230924007,2.1402875402947146,24
var,Linear residual DML,N2,Hstep,0.579408873064636,2.638627092773894,24
