regime,method,noise,h_profile,t1_t2_mean_absolute_error,t3_t4_mean_absolute_error,t1_t2_over_t3_t4_ratio
var,Linear residual DML + graph control,N1,Hprbs,2.925348198600301,0.2859433908373904,10.230515173067529
var,Linear residual DML + graph control,N1,Hsin,2.542339357230577,0.16688691973341435,15.233904258594485
var,Linear residual DML + graph control,N1,Hstep,2.7994767940352143,0.28503754619517524,9.821431707520784
var,Linear residual DML + graph control,N2,Hbrn,2.269475470558315,0.03676111136735321,61.73576875517941
var,Linear residual DML + graph control,N2,Hdec,3.0588322210824446,0.33642730622758044,9.092104488727973
var,Linear residual DML + graph control,N2,Hprbs,2.8956960511709213,0.3228132891494019,8.970188491313188
var,Linear residual DML + graph control,N2,Hsin,2.911021356726407,0.3095127620577241,9.405173917137226
var,Linear residual DML + graph control,N2,Hstep,2.8049354086145946,0.29748930591059186,9.428693243371903
var,Linear residual DML + graph control,N3,Hbrn,2.2509997240520465,1.6754756559523516,1.3434989139084585
var,Linear residual DML + graph control,N3,Hdec,0.40554503132350384,0.768726462070287,0.5275544050237516
var,Linear residual DML + graph control,N3,Hprbs,1.6247740205583792,0.5718649514958282,2.8411848222354856
var,Linear residual DML + graph control,N3,Hsin,2.33530028318374,0.19537262832323232,11.95305761726318
var,Linear residual DML + graph control,N3,Hstep,1.8742356620488163,0.18440641859265944,10.163614023592467
var,Expanded DML,N1,Hbrn,0.16179127882764835,0.04619141028947391,3.502626956261548
var,Expanded DML,N1,Hdec,0.546041837944066,0.03390726081688299,16.103979642973183
var,Expanded DML,N1,Hprbs,0.5724705453505567,0.05630794069182924,10.166781777434583
var,Expanded DML,N1,Hsin,0.1719440688272513,0.0369934592251848,4.64795865076044
var,Expanded DML,N1,Hstep,0.6994859861528097,0.036501871768242024,19.163016915789736
var,Expanded DML,N2,Hbrn,0.15685011188734266,0.048759141879231124,3.2168349532449976
var,Expanded DML,N2,Hdec,0.5478737939036872,0.0337317943804859,16.242058982211642
var,Expanded DML,N2,Hprbs,0.5744631730924956,0.05243705305720117,10.955290955535585
var,Expanded DML,N2,Hsin,0.16883491851354984,0.038437975311306334,4.392398848955187
var,Expanded DML,N2,Hstep,0.695031634731481,0.03545652951404195,19.602359403399188
var,Expanded DML,N3,Hbrn,0.4967230413764348,0.31455372119707625,1.5791357974914073
var,Expanded DML,N3,Hdec,0.8009126854394373,0.34394715508157636,2.328592266592463
var,Expanded DML,N3,Hprbs,0.9353100204742062,0.35465582498451514,2.6372329300246045
var,Expanded DML,N3,Hsin,0.48866929019375227,0.34371551289020696,1.4217260259354307
var,Expanded DML,N3,Hstep,0.5849917127887492,0.34111354969408647,1.714947158544053
var,Expanded DML + graph zero,N1,Hbrn,0.11180886737665387,0.037478782449828094,2.9832577279245824
var,Expanded DML + graph zero,N1,Hdec,0.546041837944066,0.03390726081688299,16.103979642973183
var,Expanded DML + graph zero,N1,Hprbs,0.5724705453505567,0.05630794069182924,10.166781777434583
var,Expanded DML + graph zero,N1,Hsin,0.11182083026238454,0.02175682658003859,5.1395744618830435
var,Expanded DML + graph zero,N1,Hstep,0.6994859861528097,0.036501871768242024,19.163016915789736
var,Expanded DML + graph zero,N2,Hbrn,0.10564254591569325,0.04102248482212076,2.5752351758742584
var,Expanded DML + graph zero,N2,Hdec,0.5478737939036872,0.0337317943804859,16.242058982211642
var,Expanded DML + graph zero,N2,Hprbs,0.5744631730924956,0.05243705305720117,10.955290955535585
var,Expanded DML + graph zero,N2,Hsin,0.16883491851354984,0.038437975311306334,4.392398848955187
var,Expanded DML + graph zero,N2,Hstep,0.695031634731481,0.03545652951404195,19.602359403399188
var,Expanded DML + graph zero,N3,Hbrn,0.4967230413764348,0.31455372119707625,1.5791357974914073
var,Expanded DML + graph zero,N3,Hdec,0.11369992726147848,0.2976493081504941,0.38199291632148125
var,Expanded DML + graph zero,N3,Hprbs,0.7974914755160138,0.29332066526790057,2.7188383566075562
var,Expanded DML + graph zero,N3,Hsin,0.48866929019375227,0.1329759574150315,3.6748695004207845
var,Expanded DML + graph zero,N3,Hstep,0.5477873722638932,0.08312695913835123,6.58976796387067
var,Expanded DML + graph control,N1,Hbrn,1.7775360447968613,0.019969226669978704,89.01376473777874
var,Expanded DML + graph control,N1,Hdec,1.1893347794064764,0.3390703665746618,3.507634097964117
var,Expanded DML + graph control,N1,Hprbs,2.1165970737083817,0.2769262386865029,7.643179944766795
var,Expanded DML + graph control,N1,Hsin,2.438878521719785,0.1351584199746812,18.04459183657705
var,Expanded DML + graph control,N1,Hstep,1.5987110275908636,0.5389582485876788,2.9662984689078047
var,Expanded DML + graph control,N2,Hbrn,1.8263522621627755,0.08530842562651246,21.40881453091985
