regime,method,output,count,mean_absolute_error,median_absolute_error,max_absolute_error
var,Expanded DML + graph control,T1,60,1.6036099794639573,0.4941812112968361,9.661933379643967
var,Expanded DML + graph control,T2,60,1.9462094408295627,1.0712655825733253,9.382074674550813
var,Expanded DML + graph control,T3,60,0.3259084203163743,0.1035923688583873,1.6495304476366075
var,Expanded DML + graph control,T4,60,0.29714456669294714,0.11761028151616237,1.7723979799371663
var,Expanded DML + graph zero,C,60,0.6074175037410264,0.5765297026642393,1.8632372636858294
var,Expanded DML + graph zero,P,60,2.0863263565477292,2.049511818372748,4.330329992888403
var,Expanded DML + graph zero,T1,60,0.38997205153198433,0.1314879273630717,1.7172957094108927
var,Expanded DML + graph zero,T2,60,0.48707398044867556,0.2865869386273096,2.6850941340795345
var,Expanded DML + graph zero,T3,60,0.09598435606655799,0.03980078559773635,1.2740665188360527
var,Expanded DML + graph zero,T4,60,0.10517099467488614,0.031430434645132746,0.6037462774172795
var,Expanded LSE,C,60,0.28172601271804637,0.1870739451096819,1.0730964090801578
var,Expanded LSE,P,60,0.580622389665579,0.6391067630301643,1.3719708566110285
var,Expanded LSE,T1,60,0.48477396020186325,0.3010366942102265,2.3691186680714953
var,Expanded LSE,T2,60,0.47110067610735634,0.3621982974082948,2.481721590969417
var,Expanded LSE,T3,60,0.18378626094467357,0.14389189484228412,0.4679344707263811
var,Expanded LSE,T4,60,0.1781962186125563,0.1396985572720591,0.5503594251214619
var,Expanded LSE + graph control,C,60,0.2794399292749323,0.18109764192676492,1.0307224147038085
var,Expanded LSE + graph control,P,60,0.5827224961991359,0.6210722621523805,1.371970856611032
var,Expanded LSE + graph control,T1,60,0.41697937774662847,0.26674534121241866,2.3037298488239237
var,Expanded LSE + graph control,T2,60,0.419125599969039,0.2879222991138418,2.3975459743565737
var,Expanded LSE + graph control,T3,60,0.17369913130801232,0.14389189484228318,0.4679344707263829
var,Expanded LSE + graph control,T4,60,0.13970709591282454,0.08099099646834496,0.5503594251214619
var,Expanded LSE + graph zero,C,60,0.28172601271804637,0.1870739451096819,1.0730964090801578
var,Expanded LSE + graph zero,P,60,0.580622389665579,0.6391067630301643,1.3719708566110285
var,Expanded LSE + graph zero,T1,60,0.42178546787755355,0.2718501563351494,2.3691186680714953
var,Expanded LSE + graph zero,T2,60,0.4006851989096188,0.26504037200729713,2.481721590969417
var,Expanded LSE + graph zero,T3,60,0.17574685067617335,0.14389189484228412,0.4679344707263811
var,Expanded LSE + graph zero,T4,60,0.1455952644727348,0.07795321868342076,0.5503594251214619
var,LSTM sequence model,C,60,0.22115349551282695,0.1619047276973724,0.6067969170972294
var,LSTM sequence model,P,60,0.713666407775879,0.3774270210266124,4.0324684715271
var,LSTM sequence model,T1,60,0.3359973060917383,0.18040255857334633,1.0471077287197113
var,LSTM sequence model,T2,60,0.5351220420175608,0.30949358794093007,2.4570064601898194
var,LSTM sequence model,T3,60,0.3172365588421566,0.1275987932067364,2.7008161563873294
var,LSTM sequence model,T4,60,0.1713131419501308,0.046247411802760305,1.3906482486724858
var,Linear residual DML,C,60,0.5020528679215462,0.5155618438539101,1.5258910780920045
var,Linear residual DML,P,60,1.2760498405419083,0.9980224929411117,3.0810607025391334
var,Linear residual DML,T1,60,0.7375388061899578,0.4345428670095337,3.1687367485527966
var,Linear residual DML,T2,60,0.5849970055767159,0.399079258069421,2.909504884280942
var,Linear residual DML,T3,60,0.16901523907826901,0.010896988236824941,1.1195788808889828
var,Linear residual DML,T4,60,0.07439546378145859,0.01380708501746377,0.514756920982538
var,Linear residual DML + graph control,C,60,1.9000696736563152,1.201654267165879,6.051617875471468
var,Linear residual DML + graph control,P,60,3.188564672228936,2.009328390943471,13.875356480598107
var,Linear residual DML + graph control,T1,60,2.339812248219666,1.536461456127184,9.901958989945374
var,Linear residual DML + graph control,T2,60,2.4666960971654595,0.8590950950839122,11.828958896871551
var,Linear residual DML + graph control,T3,60,0.4166965894277754,0.1784825652608415,3.741800308805344
var,Linear residual DML + graph control,T4,60,0.357444461506982,0.12230836266332545,4.550917507018394
var,Linear residual DML + graph zero,C,60,0.5020528679215462,0.5155618438539101,1.5258910780920045
